env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
2000,1,-0.002052,0.016849,1.609358,0.000090,0.000000,nan,nan,1778.1
4000,2,-0.001472,0.014245,1.608970,0.000097,0.000000,nan,nan,3417.7
6000,3,-0.004957,0.012304,1.606817,0.000788,0.000000,nan,nan,3167.9
8000,4,-0.007951,0.010621,1.586712,0.005767,0.044750,nan,nan,3043.3
10000,5,-0.010908,0.007731,1.540808,0.007270,0.101625,nan,nan,2972.2
12000,6,-0.010142,0.008253,1.503250,0.006318,0.103750,nan,nan,3256.8
14000,7,-0.014559,0.009776,1.429117,0.007827,0.108500,nan,nan,3236.6
16000,8,-0.014984,0.009607,1.345578,0.012511,0.144125,nan,nan,3026.5
18000,9,-0.016248,0.007102,1.294997,0.010744,0.158625,nan,nan,3274.6
20000,10,-0.019744,0.008215,1.156670,0.014681,0.184125,nan,nan,3394.7
22000,11,-0.016476,0.007757,0.975735,0.014735,0.170500,nan,nan,3261.2
24000,12,-0.015189,0.005451,0.859356,0.011680,0.140375,-22.930457,1440.00,3368.9
26000,13,-0.013602,0.005041,0.725121,0.009932,0.117000,-22.930457,1440.00,2995.7
28000,14,-0.009165,0.004987,0.642216,0.006244,0.084625,-22.930457,1440.00,2793.1
30000,15,-0.009835,0.003295,0.544034,0.008082,0.087375,-22.930457,1440.00,3422.9
32000,16,-0.004894,0.003425,0.417210,0.003841,0.051250,-22.930457,1440.00,3452.8
34000,17,-0.007231,0.003452,0.314643,0.005888,0.059000,-22.930457,1440.00,3362.4
36000,18,-0.003395,0.003841,0.256851,0.003001,0.040125,-22.930457,1440.00,3131.4
38000,19,-0.002593,0.003310,0.179221,0.001066,0.017250,-22.930457,1440.00,3236.2
40000,20,-0.002262,0.003029,0.141435,0.001648,0.020375,-22.930457,1440.00,3342.3
42000,21,-0.002952,0.002344,0.171587,0.005462,0.036500,-22.930457,1440.00,3212.6
44000,22,-0.003519,0.002285,0.191001,0.002144,0.022625,-22.930457,1440.00,3121.7
46000,23,-0.002139,0.002233,0.148023,0.000904,0.012250,-22.930457,1440.00,3045.7
48000,24,-0.002325,0.001971,0.106141,0.002189,0.019250,-13.676181,1440.00,2838.4
50000,25,-0.002340,0.001416,0.132358,0.000989,0.012500,-13.676181,1440.00,3487.6
52000,26,-0.003131,0.001465,0.121654,0.005078,0.035375,-13.676181,1440.00,3377.1
54000,27,-0.001497,0.001280,0.091181,0.001549,0.011250,-13.676181,1440.00,3291.0
56000,28,-0.001109,0.001119,0.051874,0.000569,0.007375,-13.676181,1440.00,3203.9
58000,29,-0.000381,0.000996,0.051182,0.000265,0.002875,-13.676181,1440.00,2818.4
60000,30,-0.000425,0.001053,0.039541,0.000331,0.002875,-13.676181,1440.00,3185.7
62000,31,-0.001179,0.001025,0.022930,0.001588,0.006375,-13.676181,1440.00,2993.3
64000,32,-0.000154,0.000935,0.009073,0.000090,0.000500,-13.676181,1440.00,3320.3
66000,33,-0.000001,0.000794,0.005564,0.000000,0.000000,-13.676181,1440.00,3405.4
68000,34,-0.000000,0.000746,0.006740,0.000000,0.000000,-13.676181,1440.00,3078.9
70000,35,0.000003,0.000715,0.008900,0.000000,0.000000,-9.304871,1440.00,2762.2
72000,36,-0.000121,0.000630,0.008673,0.000058,0.000750,-9.304871,1440.00,2768.2
74000,37,-0.000106,0.000601,0.006132,0.000038,0.000375,-9.304871,1440.00,3338.5
76000,38,-0.000017,0.000586,0.004980,0.000007,0.000125,-9.304871,1440.00,3378.0
78000,39,-0.000040,0.000459,0.005194,0.000009,0.000125,-9.304871,1440.00,3276.8
80000,40,-0.000112,0.000457,0.003350,0.000046,0.000375,-9.304871,1440.00,3098.7
82000,41,-0.000094,0.000512,0.002625,0.000051,0.000625,-9.304871,1440.00,3399.6
84000,42,-0.000044,0.000484,0.002265,0.000018,0.000250,-9.304871,1440.00,3295.5
86000,43,-0.000000,0.000444,0.001760,0.000000,0.000000,-9.304871,1440.00,3224.4
88000,44,0.000000,0.000442,0.001522,-0.000000,0.000000,-9.304871,1440.00,3183.2
90000,45,-0.000000,0.000408,0.001637,0.000000,0.000000,-9.304871,1440.00,3138.1
92000,46,0.000000,0.000387,0.001799,0.000000,0.000000,-9.304871,1440.00,2920.7
94000,47,-0.000041,0.000416,0.001541,0.000020,0.000250,-6.991952,1440.00,3213.4
96000,48,0.000000,0.000316,0.001712,0.000000,0.000000,-6.991952,1440.00,3341.5
98000,49,0.000000,0.000361,0.001687,-0.000000,0.000000,-6.991952,1440.00,3482.9
100000,50,-0.000013,0.000387,0.001450,0.000010,0.000125,-6.991952,1440.00,3115.8
102000,51,-0.000001,0.000468,0.001717,0.000000,0.000000,-6.991952,1440.00,3237.2
104000,52,-0.000071,0.000362,0.003076,0.000041,0.000375,-6.991952,1440.00,3283.5
106000,53,-0.000018,0.000317,0.004244,0.000011,0.000250,-6.991952,1440.00,3283.0
108000,54,-0.000002,0.000330,0.004767,0.000000,0.000000,-6.991952,1440.00,3403.2
110000,55,0.000002,0.000269,0.006060,0.000000,0.000000,-6.991952,1440.00,3421.6
112000,56,-0.000002,0.000245,0.005453,-0.000000,0.000000,-6.991952,1440.00,3039.9
114000,57,-0.000068,0.000246,0.004422,0.000026,0.000250,-6.991952,1440.00,2906.3
116000,58,-0.000152,0.000279,0.002934,0.000053,0.000375,-5.601908,1440.00,2757.2
118000,59,-0.000000,0.000246,0.002469,0.000000,0.000000,-5.601908,1440.00,3412.6
120000,60,0.000000,0.000303,0.002489,0.000000,0.000000,-5.601908,1440.00,3483.8
122000,61,-0.000010,0.000280,0.002012,0.000007,0.000125,-5.601908,1440.00,3428.8
124000,62,0.000000,0.000249,0.001684,-0.000000,0.000000,-5.601908,1440.00,3101.2
126000,63,0.000000,0.000214,0.002103,-0.000000,0.000000,-5.601908,1440.00,3151.1
128000,64,0.000000,0.000195,0.001679,-0.000000,0.000000,-5.601908,1440.00,2841.9
130000,65,-0.000020,0.000190,0.002072,0.000014,0.000125,-5.601908,1440.00,3567.9
132000,66,0.000003,0.000211,0.003510,0.000000,0.000000,-5.601908,1440.00,3661.2
134000,67,-0.000102,0.000166,0.002752,0.000046,0.000375,-5.601908,1440.00,3518.7
136000,68,-0.000001,0.000223,0.002205,0.000000,0.000000,-5.601908,1440.00,3363.8
138000,69,-0.000000,0.000188,0.001401,-0.000000,0.000000,-5.601908,1440.00,3348.6
140000,70,-0.000120,0.000253,0.002292,0.000046,0.000375,-4.674534,1440.00,3003.3
142000,71,-0.000001,0.000157,0.001710,0.000000,0.000000,-4.674534,1440.00,3310.1
144000,72,-0.000000,0.000214,0.001419,0.000000,0.000000,-4.674534,1440.00,3370.8
146000,73,-0.000078,0.000201,0.001729,0.000054,0.000375,-4.674534,1440.00,3231.9
148000,74,-0.000000,0.000426,0.001469,-0.000000,0.000000,-4.674534,1440.00,3561.4
150000,75,-0.000140,0.000272,0.001158,0.000041,0.000375,-4.674534,1440.00,3452.6
152000,76,-0.000001,0.000288,0.000768,0.000000,0.000000,-4.674534,1440.00,3564.7
154000,77,0.000000,0.000257,0.000536,-0.000000,0.000000,-4.674534,1440.00,3309.7
156000,78,-0.000146,0.000215,0.000408,0.000094,0.000375,-4.674534,1440.00,3380.9
