env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
500,1,-0.005225,0.017950,1.609227,0.000228,0.000000,nan,nan,347.5
1000,2,-0.002897,0.021190,1.608508,0.000104,0.000000,nan,nan,377.3
1500,3,-0.002841,0.014746,1.608030,0.000120,0.000000,nan,nan,486.7
2000,4,-0.004787,0.013914,1.605716,0.000371,0.000000,nan,nan,487.1
2500,5,-0.010006,0.013718,1.593918,0.002919,0.040000,nan,nan,461.9
3000,6,-0.012547,0.012642,1.578042,0.003154,0.033500,nan,nan,548.6
3500,7,-0.009737,0.010462,1.558345,0.001807,0.007000,nan,nan,433.3
4000,8,-0.017683,0.008512,1.521520,0.006705,0.087500,nan,nan,296.5
2000,1,-0.003059,0.020625,1.609156,0.000271,0.000000,nan,nan,952.6
4000,2,-0.002377,0.020009,1.607454,0.000256,0.000000,nan,nan,2420.8
6000,3,-0.003997,0.017086,1.602954,0.001087,0.000125,nan,nan,3308.0
8000,4,-0.005336,0.014094,1.585947,0.003583,0.020625,nan,nan,3629.1
10000,5,-0.005534,0.010362,1.557370,0.002640,0.009000,nan,nan,3482.5
12000,6,-0.009587,0.008379,1.509703,0.008431,0.121000,nan,nan,3426.5
14000,7,-0.009105,0.007672,1.480495,0.007115,0.068625,nan,nan,3241.8
16000,8,-0.012524,0.007562,1.393929,0.008935,0.140625,nan,nan,3342.2
18000,9,-0.012857,0.006513,1.347566,0.008905,0.106750,nan,nan,3364.0
20000,10,-0.013043,0.005342,1.281742,0.009991,0.114875,nan,nan,3341.7
